,activities.activity_id,similar.klifs_structure_id,similar.fp_similarity
86515,32260,809,0.2706766917293233
202824,32262,5322,0.1732283464566929
122956,32267,789,0.3065693430656934
118449,32330,2271,0.1881188118811881
195043,32335,5326,0.1596638655462184
184604,32336,5553,0.2
198104,32680,12838,0.2123287671232876
211055,32770,786,0.1489361702127659
211285,32773,15067,0.1320754716981132
204991,32781,13442,0.0932203389830508
174332,33033,5323,0.2978723404255319
29103,33375,-2,
191318,33406,789,0.3453237410071942
199852,33408,6789,0.186335403726708
210735,34039,831,0.131578947368421
200185,34050,15067,0.1034482758620689
67375,34276,5342,0.1630434782608695
6504,34669,809,0.2531645569620253
44566,34670,-1,
139845,34671,5322,0.2275862068965517
208615,35296,15063,0.0952380952380952
211126,35297,6303,0.1224489795918367
210797,35302,14527,0.1325301204819277
72131,35519,5342,0.1397849462365591
211344,36510,15067,0.1186440677966101
162773,36519,14527,0.0853658536585365
196466,37510,786,0.2222222222222222
130455,37861,5345,0.168141592920354
40737,37862,5342,0.1702127659574468
115349,39110,5310,0.1739130434782608
155307,39467,-2,
211337,40025,15063,0.1111111111111111
211345,40026,15067,0.135593220338983
53439,40257,5342,0.1739130434782608
30650,40607,-2,
130627,40689,2271,0.2121212121212121
85358,40692,968,0.2833333333333333
162559,40693,5326,0.2105263157894736
151569,40694,5553,0.1900826446280991
210699,41222,15067,0.1296296296296296
208015,41227,15064,0.1025641025641025
34936,41866,-2,
180973,41979,5326,0.2736842105263158
203193,41980,10710,0.1094890510948905
90259,41985,968,0.2543859649122807
59657,42300,786,0.3548387096774194
104308,42683,5326,0.1649484536082474
83149,42689,5342,0.1648351648351648
31273,43074,-2,
141458,43147,2271,0.1782178217821782
189936,43153,5553,0.1916666666666666
210894,43663,15067,0.1194029850746268
162415,44685,786,0.4024390243902439
109770,44690,786,0.4302325581395348
201590,44695,786,0.1553398058252427
210882,44885,15064,0.1176470588235294
89439,45078,5310,0.2424242424242424
54146,45079,5323,0.1785714285714285
130363,45867,786,0.5164835164835165
98556,45872,786,0.4742268041237113
134854,45892,4977,0.6521739130434783
211354,45958,8553,0.0930232558139534
210290,45962,15067,0.1228070175438596
57992,46268,5310,0.1919191919191919
70699,46694,789,0.3503649635036496
