,activities.activity_id,similar.klifs_structure_id,similar.fp_similarity
35216,47933,12830,0.247191011235955
176235,47935,5316,0.1550802139037433
176505,48475,4977,0.3541666666666667
210329,48553,15063,0.0933333333333333
120099,48768,5337,0.1258741258741259
126929,49320,809,0.2645161290322581
184909,49322,5322,0.4666666666666667
127743,49323,831,0.2797202797202797
169687,49326,10373,0.1988304093567251
184885,49328,5322,0.1447368421052631
38213,49408,2271,0.2121212121212121
106315,49411,968,0.2941176470588235
105464,49412,5326,0.2
95995,49413,5553,0.180327868852459
211229,49986,11884,0.1234567901234567
207911,49988,15067,0.1206896551724138
44519,50202,5323,0.173076923076923
137838,50645,-2,
42820,50668,789,0.3428571428571428
197009,51141,786,0.1789473684210526
210868,51245,14527,0.1428571428571428
210386,51250,15067,0.0909090909090909
132366,51439,5326,0.1666666666666666
28494,51440,5310,0.173076923076923
141095,51789,-2,
38245,51883,2271,0.2164948453608247
105151,51885,968,0.2773109243697479
133334,51886,5326,0.2142857142857142
119513,51887,5553,0.1735537190082644
187118,52375,4977,0.3777777777777777
192166,52380,4977,0.3837209302325581
156270,52383,4977,0.3578947368421052
211519,52474,8553,0.1011235955056179
58087,53212,831,0.2876712328767123
171623,53296,5314,0.15
194859,53297,5552,0.1775700934579439
211212,53758,15067,0.1186440677966101
203951,53762,15067,0.109090909090909
199806,53764,851,0.0826446280991735
211228,53765,13948,0.1272727272727272
59690,53967,5342,0.1489361702127659
167658,53974,5323,0.1515151515151515
77787,54402,809,0.2753623188405797
197644,54404,5322,0.1818181818181818
186199,54923,4977,0.3578947368421052
210848,54979,831,0.1551724137931034
177324,54991,14527,0.1529411764705882
82229,55130,5342,0.1382978723404255
101186,55137,5323,0.14
186228,56127,4977,0.2653061224489796
211352,57443,15066,0.1298701298701298
211010,57444,13948,0.102803738317757
205038,57446,15063,0.125
125712,57679,5323,0.14
32586,58077,-2,
35787,58119,809,0.2777777777777778
19189,58122,12844,0.3766233766233766
176497,58124,5316,0.1550802139037433
210673,58605,15064,0.1392405063291139
133984,59293,-2,
169443,59854,4977,0.2653061224489796
154351,59857,4977,0.3372093023255814
210630,60010,851,0.1065573770491803
210113,60020,14533,0.0980392156862745
160462,60674,-2,
128560,60797,2271,0.4925373134328358
119547,60799,983,0.2705882352941176
180596,60800,5314,0.1570247933884297
194882,60801,5552,0.1851851851851851
54232,61241,786,0.5180722891566265
152418,61302,4977,0.5072463768115942
208430,61373,831,0.1056910569105691
210327,61379,15067,0.1147540983606557
25896,62027,-2,
26184,62047,831,0.2797202797202797
66409,62054,835,0.2720588235294117
158221,62129,14816,0.1627906976744186
21874,62143,2271,0.2210526315789473
100614,62145,968,0.2711864406779661
183738,62149,9433,0.3981481481481481
208851,62721,14527,0.1511627906976744
15330,63367,809,0.2679738562091503
44592,63368,-1,
135441,63369,5322,0.3082706766917293
126899,63847,786,0.4352941176470588
85032,63852,786,0.618421052631579
146311,63857,786,0.23
206904,63956,4977,0.3295454545454545
211111,64049,794,0.0833333333333333
211232,64050,15063,0.1774193548387097
210725,65267,8553,0.1123595505617977
31349,66017,-2,
142933,66030,831,0.2671232876712329
40271,66033,831,0.272108843537415
172232,66035,5322,0.1610738255033557
21962,66108,2271,0.3095238095238095
151802,66112,983,0.2688172043010752
84156,66490,786,0.5402298850574713
138233,66495,786,0.2978723404255319
177997,66546,4977,0.3655913978494624
83357,66857,5323,0.145631067961165
192446,67213,5322,0.1526717557251908
73695,67606,786,0.5168539325842697
200711,67658,4977,0.2448979591836734
210349,67823,793,0.0792079207920792
14921,68470,12830,0.2432432432432432
184914,68472,6789,0.1722222222222222
184621,69004,4977,0.3505154639175257
211369,69112,15067,0.1320754716981132
208415,69117,14527,0.1157894736842105
123846,69854,809,0.273972602739726
144815,69857,809,0.1818181818181818
41673,69858,-1,
85379,69859,5322,0.3059701492537313
72967,70342,786,0.358695652173913
170540,70418,4977,0.3655913978494624
210161,70560,15063,0.1029411764705882
117485,70767,5323,0.1538461538461538
29052,71057,-2,
157739,71058,-2,
101154,71575,786,0.5581395348837209
211428,71729,15067,0.0909090909090909
208185,71734,14527,0.1222222222222222
96599,72283,968,0.4561403508771929
159282,72284,968,0.5042735042735043
77807,72318,988,0.4677419354838709
210964,72611,13871,0.0833333333333333
159885,72612,10776,0.1176470588235294
210325,72615,10776,0.1515151515151515
208933,72620,10776,0.140625
114372,73283,983,0.2771084337349397
31121,73317,988,0.5042735042735043
59705,73319,988,0.5391304347826087
142393,73687,10776,0.1196581196581196
102081,74394,988,0.4838709677419355
59674,74396,988,0.4873949579831932
210965,74664,9104,0.1041666666666666
135527,74688,10776,0.0932203389830508
182474,74691,10776,0.1176470588235294
193796,74694,10776,0.1507936507936507
134010,75874,10776,0.0944881889763779
207640,75878,10776,0.1065573770491803
85372,76647,968,0.4504504504504504
16071,76679,988,1.0
126910,76966,10776,0.1056910569105691
100694,78008,5322,0.1857142857142857
168725,78009,3552,0.3043478260869565
32591,78010,-1,
109971,78011,968,0.184931506849315
197546,78012,13948,0.2206896551724138
169458,78064,10776,0.1403508771929824
177963,78067,10776,0.1
141004,79177,5322,0.2047244094488189
164518,79178,3552,0.3300970873786408
44502,79179,-1,
169050,79180,968,0.1267605633802817
203131,80320,3512,0.234375
211195,80391,9104,0.1333333333333333
82433,80392,10776,0.1065573770491803
30006,81206,988,0.4745762711864407
182546,81208,789,0.2536231884057971
133987,81210,14157,0.1597222222222222
182545,81560,10776,0.1290322580645161
211060,82597,14569,0.0620155038759689
182543,82616,10776,0.1111111111111111
184133,82619,10776,0.1111111111111111
204077,83548,5322,0.1603053435114503
203164,83549,3552,0.2035398230088495
44064,83550,-1,
210500,83584,13871,0.06
161927,83585,10776,0.1083333333333333
32393,84545,5322,0.2583333333333333
128942,84546,3552,0.3366336633663366
14390,84547,-1,
96620,84548,986,0.0952380952380952
208482,84549,11884,0.1282051282051282
72968,84585,10776,0.1074380165289256
168369,84588,10776,0.1206896551724138
203541,85354,968,0.4471544715447154
200899,85631,5322,0.1680672268907563
39925,85633,-1,
92303,85640,5322,0.1908396946564885
167632,85641,3552,0.3333333333333333
17670,85642,-1,
112978,85643,10920,0.1056338028169014
208595,85670,9104,0.1063829787234042
194755,85671,10776,0.1071428571428571
131784,86223,968,0.5213675213675214
187110,86274,988,0.448
211278,86581,10776,0.1484375
204131,86584,10776,0.1551724137931034
142327,87307,13900,0.2281879194630872
78792,87619,5322,0.1925925925925926
159462,87620,3552,0.3063063063063063
41569,87621,-1,
96585,87622,968,0.12
179579,88332,968,0.4435483870967742
146144,88630,5322,0.1875
200027,88631,3552,0.3448275862068966
41574,88632,-1,
189437,88633,983,0.0961538461538461
78184,88639,5322,0.2583333333333333
133557,88640,3552,0.3366336633663366
33934,88641,-1,
167616,88642,971,0.0952380952380952
171907,88690,10776,0.1101694915254237
76519,89335,988,0.4552845528455284
209987,89581,9102,0.1123595505617977
142323,89608,10776,0.1074380165289256
130845,89611,10776,0.0873015873015873
169415,89614,10776,0.1240310077519379
136397,90223,968,0.5517241379310345
210208,90619,9111,0.081081081081081
211364,90620,9104,0.0869565217391304
28748,91347,988,0.4827586206896552
78095,91569,5322,0.2051282051282051
128922,91570,3552,0.1904761904761904
43765,91571,-1,
103956,91572,14883,0.0895522388059701
45683,91580,-1,
68309,91587,5322,0.2432432432432432
78140,91588,3552,1.0
31043,91589,-1,
200059,91590,10920,0.0944881889763779
85399,92272,968,0.4851485148514851
43584,92601,-1,
202806,92602,983,0.0927835051546391
204787,92649,10776,0.1229508196721311
33562,93279,968,0.4274193548387097
54355,94280,988,0.5128205128205128
31408,94282,988,0.5636363636363636
186309,94578,10776,0.1092436974789916
209228,94581,10776,0.1538461538461538
187227,95252,968,0.5392156862745098
68341,95253,13900,0.2318840579710145
137133,95254,13900,0.2266666666666666
193294,95565,10776,0.135593220338983
170655,96281,968,0.6210526315789474
119428,96312,988,0.4715447154471545
45792,96620,-1,
210989,96649,10776,0.1
207377,97344,968,0.5130434782608696
207395,97667,10776,0.134453781512605
211031,97670,10776,0.1512605042016806
68337,98654,5322,0.2280701754385964
136385,98655,3552,0.2277227722772277
34789,98656,-1,
114244,98657,986,0.1029411764705882
151400,98663,5322,0.25
126382,98664,3552,0.3238095238095238
154096,98666,13900,0.0891719745222929
206069,98667,11884,0.1333333333333333
179578,98692,10776,0.1491228070175438
188159,98695,10776,0.1186440677966101
61775,99307,988,0.5
106910,99526,5322,0.2166666666666666
133272,99527,3552,0.5294117647058824
27088,99528,-1,
174363,99529,10920,0.1052631578947368
211293,99557,9111,0.0495049504950495
211482,100543,9102,0.1
206866,100544,10776,0.1428571428571428
208613,100548,10776,0.1102362204724409
168386,101634,10776,0.1206896551724138
139803,102362,968,0.4596774193548387
154095,102363,13900,0.3070866141732283
44921,102391,988,0.5175438596491229
35774,102393,988,0.4915254237288136
210698,102690,10776,0.104
135906,103601,10776,1.0
151327,103604,10776,0.1293103448275862
175923,103607,10776,0.1196581196581196
154716,104237,968,0.6037735849056604
171881,104238,968,0.3070866141732283
100883,104503,5322,0.2123893805309734
201577,104504,3552,0.198019801980198
34008,104505,-1,
189972,104506,971,0.0808823529411764
96397,104512,5322,0.1942446043165467
104070,104513,3552,0.3392857142857143
33757,104514,-1,
158599,104515,13900,0.1234567901234567
175926,105375,14485,0.1185185185185185
206957,105376,3974,0.6395348837209303
150647,105520,15159,0.0949367088607595
154920,105521,2549,0.0808823529411764
27866,105522,-1,
36797,105523,-1,
30517,105524,-1,
34435,105738,785,0.4736842105263157
76525,106108,6018,0.2844036697247706
36495,106511,14782,0.0833333333333333
21701,106512,4056,0.1869158878504672
29868,106877,785,0.4711538461538461
192306,107292,11400,0.1785714285714285
127948,107296,7970,0.2518518518518518
126399,107298,9530,0.2685185185185185
178716,107300,7970,0.1712328767123287
153858,107302,786,0.2452830188679245
140379,107304,7970,0.1917808219178082
78450,107306,802,0.2406015037593984
109069,107703,14782,0.0616438356164383
63177,107705,14780,0.0666666666666666
10751,107990,785,0.3928571428571428
36471,107994,14320,0.1818181818181818
109560,108038,10777,0.1746031746031746
78463,108039,14758,0.550561797752809
194445,108285,10858,0.2611940298507462
170705,108289,7970,0.2039473684210526
52863,108795,14485,0.1241830065359477
126386,108796,4220,0.54
137139,108797,14782,0.0863309352517985
146790,108798,4330,0.2653061224489796
44595,108799,14780,0.0862068965517241
97929,108862,6289,0.1132075471698113
148192,108863,789,1.0
158885,108868,835,0.5681818181818182
84975,109637,7970,0.1910828025477707
97528,110154,5309,0.1171171171171171
72948,110155,5330,0.1120689655172413
193985,110218,6303,0.2547169811320754
185452,110219,986,0.1417322834645669
17280,110479,10373,0.7
50016,110483,14320,0.2126436781609195
208433,110541,971,0.1055555555555555
198189,110542,10777,0.1680672268907563
196532,110543,14758,0.6753246753246753
149093,111012,7970,0.1862068965517241
168248,111014,802,0.2074074074074074
99098,111016,7970,0.1806451612903225
36661,111164,5334,0.1773049645390071
157588,111575,14485,0.1172413793103448
162091,111576,3974,1.0
175914,111577,14485,0.1126760563380281
204601,111578,3928,0.5978260869565217
162092,111579,14485,0.1210191082802547
146826,111581,14780,0.1142857142857142
132942,111618,5309,0.1186440677966101
209686,111702,986,0.1626016260162601
17295,111935,786,0.46875
209018,111999,971,0.1123595505617977
183278,112446,3574,0.2432432432432432
144805,112450,11400,0.2066115702479339
131741,112452,12159,0.2467532467532467
206666,112981,14485,0.1068702290076335
84972,112985,14780,0.0789473684210526
152833,112986,4056,0.2653061224489796
6925,112995,5128,0.4056603773584906
101173,113043,5326,0.145631067961165
199483,113112,15076,0.2150537634408602
188730,113789,12159,0.2012195121951219
103842,113791,11159,0.1973684210526315
107101,113793,12159,0.2179487179487179
175913,114278,14485,0.1088435374149659
187088,114279,3974,0.6105263157894737
187089,114280,14485,0.0992907801418439
205855,114281,4428,0.6190476190476191
187100,114282,14485,0.1285714285714285
209264,114283,3928,0.7294117647058823
62163,114284,14782,0.0808823529411764
36567,114285,4330,0.3333333333333333
66234,114286,14782,0.0980392156862745
77718,114344,5314,0.16
139298,114352,6289,0.128440366972477
42358,114696,675,0.1428571428571428
119657,114999,7970,0.1914893617021276
94819,115003,10856,0.1920529801324503
158294,115399,14782,0.1259259259259259
179575,115581,851,0.1370967741935483
196401,115583,971,0.1376146788990825
7340,115914,785,0.5057471264367817
52585,115964,10777,0.16
201784,116314,3502,0.2184873949579832
92628,116836,14782,0.0935251798561151
152690,116837,4069,0.2526315789473684
133988,116878,6793,0.094017094017094
208388,116920,6303,0.1842105263157894
188766,116921,986,0.1484375
209699,116922,6303,0.1944444444444444
2721,117213,785,0.5232558139534884
9825,117228,786,0.4326923076923077
60261,117232,9323,0.1883116883116883
60262,117675,5341,0.1214285714285714
72959,118041,14780,0.1120689655172413
86527,118084,5330,0.1260504201680672
190347,118168,6303,0.1826086956521739
195230,118169,986,0.1472868217054263
185157,118171,986,0.1550387596899224
25693,118461,785,0.4090909090909091
178713,118470,10777,0.2068965517241379
160036,118471,14758,0.3402061855670103
29941,118600,669,0.1679389312977099
143983,118833,7970,0.1958041958041958
137879,118835,802,0.2180451127819548
146286,119256,14782,0.1056338028169014
72178,119373,15159,0.10828025477707
100707,119374,2549,0.0962962962962963
18133,119375,-1,
23343,119376,-1,
17698,119377,-1,
162194,119381,15073,0.1604938271604938
198444,119382,10920,0.1428571428571428
179572,119600,10777,0.1639344262295081
157511,119601,14758,0.65
154713,119920,11155,0.2
47333,120047,6789,0.1904761904761904
37708,120054,5334,0.1266666666666666
139525,120115,5317,0.1452991452991453
135903,120506,14485,0.1153846153846153
182633,120507,3974,0.5185185185185185
18057,120871,786,0.5
78285,121234,3540,0.1870503597122302
81995,121281,7970,0.2066666666666666
37676,121338,5334,0.1232876712328767
157527,121676,14485,0.1323529411764706
196425,121677,4220,0.7215189873417721
137756,121678,14782,0.079136690647482
146351,121679,4069,0.2446808510638297
118570,121680,14780,0.0803571428571428
25255,121689,5128,1.0
153949,121807,15160,0.0958904109589041
164272,121808,2549,0.0802919708029197
28735,121809,-1,
24682,121810,-1,
26816,121811,-1,
25731,122056,785,0.6746987951807228
72949,122063,14320,0.2209302325581395
207138,122147,971,0.1092896174863388
90813,122503,3524,0.2
123972,122507,7970,0.1793103448275862
119695,122509,12159,0.2142857142857142
180169,122511,7970,0.197452229299363
154694,122513,12159,0.2142857142857142
54175,122558,5335,0.1171171171171171
175904,122914,14485,0.1259259259259259
205550,122915,3974,0.632183908045977
205717,122916,14485,0.1240875912408759
147973,122965,5319,0.144
9158,123349,785,0.5116279069767442
15523,123352,785,0.7466666666666667
16833,123355,785,0.6363636363636364
89083,123749,7970,0.1858974358974359
86575,124201,5345,0.1721311475409836
17200,124595,786,0.4056603773584906
199545,124664,10777,0.1428571428571428
178708,124665,14758,0.3111111111111111
43222,124758,681,0.1967213114754098
142862,125061,7970,0.204225352112676
128564,125063,9530,0.219298245614035
62870,125121,5341,0.1142857142857142
126475,125499,14485,0.1132075471698113
200752,125500,3974,0.5045045045045045
96401,125502,4330,0.3
104021,125565,10373,0.475177304964539
202684,125678,971,0.109090909090909
121406,125681,11884,0.1923076923076923
197371,125800,11884,0.15625
163204,125802,10920,0.1008403361344537
201294,125813,15160,0.072
209405,126001,971,0.1055555555555555
32483,126536,6789,0.2388059701492537
44179,126999,14782,0.0833333333333333
21997,127000,4069,0.2058823529411764
191289,127175,6303,0.2035398230088495
195912,127176,986,0.15625
107846,127421,786,0.4659090909090909
35229,127564,681,0.213235294117647
97275,127734,7970,0.2137931034482758
129005,127736,9530,0.2307692307692307
183632,127738,11400,0.2016806722689075
99118,127740,14726,0.2755905511811024
209347,128146,4428,0.611764705882353
43164,128504,678,0.3009708737864077
150737,128845,3541,0.2362204724409448
163441,128847,12159,0.1851851851851851
44157,128961,6789,0.1549295774647887
211091,129295,2264,0.1894736842105263
204593,129334,3974,0.6333333333333333
110810,129335,14485,0.1111111111111111
154650,129336,3974,0.5384615384615384
110892,129337,14485,0.1231884057971014
147314,129338,4220,0.7125
97507,129340,4330,0.2115384615384615
206347,129505,986,0.1639344262295081
205646,129526,3040,0.0921985815602836
112517,130154,7970,0.1904761904761904
125228,130156,12159,0.232258064516129
196399,130729,14485,0.1007194244604316
82442,130731,14782,0.0869565217391304
106349,130786,5323,0.1851851851851851
76609,130787,5330,0.1092436974789916
207703,130899,6303,0.1926605504587156
190737,130900,986,0.1735537190082644
179568,130930,12829,0.1428571428571428
14510,131068,786,0.4313725490196078
58031,131072,9323,0.1764705882352941
189115,131160,10777,0.1724137931034483
172449,131439,3540,0.1983471074380165
119742,131443,3574,0.175438596491228
148047,131445,12159,0.1935483870967742
163246,131957,14485,0.1134751773049645
192913,131958,3974,0.7294117647058823
126430,131959,14485,0.1111111111111111
175875,131960,3974,0.5384615384615384
164147,132037,789,0.6320754716981132
203921,132094,6303,0.2035398230088495
153200,132095,986,0.1653543307086614
50440,132358,785,0.4631578947368421
205275,133211,14485,0.1162790697674418
175874,133213,14485,0.1319444444444444
190356,133214,3974,0.7790697674418605
135436,133215,14485,0.1567164179104477
100995,133267,5314,0.1707317073170731
192910,133313,986,0.152
207441,133314,6303,0.2018348623853211
186610,133315,986,0.1721311475409836
204639,133316,6305,0.2242990654205607
190985,133317,986,0.175
11601,133541,785,0.620253164556962
18946,133544,785,0.75
17935,133547,785,0.7808219178082192
164679,133599,10777,0.1680672268907563
126453,133600,14758,0.6538461538461539
78301,133948,11159,0.1975308641975308
112676,133982,7970,0.204225352112676
146642,133984,9530,0.208695652173913
163315,134405,14485,0.1366906474820144
194759,134406,3974,0.6444444444444445
163310,134407,14485,0.1118881118881118
194747,134408,3974,0.6373626373626373
175840,134409,14485,0.1267605633802817
190336,134410,3974,0.6666666666666666
86906,134411,14782,0.0753424657534246
141845,134554,15160,0.0958904109589041
151146,134555,2549,0.0802919708029197
26399,134556,-1,
35999,134557,-1,
31117,134558,-1,
211400,134687,2266,0.1704545454545454
27061,134878,681,0.1897810218978102
201752,135129,3540,0.3275862068965517
169529,135131,12159,0.1656441717791411
137137,135133,11159,0.2142857142857142
127664,135135,14726,0.2
40403,135300,5341,0.1555555555555555
113367,135730,5348,0.1300813008130081
24272,136079,785,0.6021505376344086
112684,136083,9323,0.2039473684210526
22785,136172,681,0.2205882352941176
179567,136423,10862,0.176
195643,136425,14726,0.1774193548387097
183888,136427,11159,0.1612903225806451
182650,136431,7970,0.1928571428571428
33895,136543,6789,0.2554744525547445
203531,136824,14485,0.1188811188811188
202192,136825,3974,0.6483516483516484
208497,136826,14485,0.1085271317829457
14840,137102,785,0.5227272727272727
37805,137223,681,0.225563909774436
85477,137438,7970,0.1772151898734177
112745,137442,7970,0.1986754966887417
104147,137444,12159,0.2160493827160493
160272,137455,9530,0.2142857142857142
210426,137997,2290,0.1219512195121951
128253,138070,14782,0.0857142857142857
60050,138072,14782,0.1049382716049382
12501,138080,5061,0.4134615384615384
202735,138229,3040,0.0921985815602836
5341,138492,785,0.7567567567567568
87524,138900,11159,0.1925465838509316
132683,138953,9530,0.2761904761904762
78292,138963,7970,0.2481203007518796
64784,138964,10920,0.2241379310344827
163258,139320,14485,0.125
203246,139321,3974,0.7023809523809523
154675,139322,14485,0.1478873239436619
175842,139323,3974,0.6451612903225806
151534,139324,14485,0.136986301369863
163287,139325,3928,0.648936170212766
103434,139333,5128,0.4313725490196078
129186,139354,6289,0.1111111111111111
200527,139390,786,0.2
209712,139391,986,0.152
185476,139395,6303,0.2181818181818181
185475,139396,986,0.1496062992125984
7909,139593,785,0.4054054054054054
47971,139597,9323,0.1875
44334,139692,11049,0.1666666666666666
194035,139963,3574,0.1848739495798319
210680,140298,2284,0.1485148514851485
163484,140398,5323,0.1842105263157894
198669,140478,6303,0.2142857142857142
200404,140479,986,0.1384615384615384
161165,141069,3540,0.1848739495798319
188781,141071,12159,0.18
160219,141077,7970,0.1843971631205673
146173,141079,9530,0.2272727272727272
51451,141152,5334,0.1379310344827586
206787,141555,3974,0.632183908045977
110717,141556,14485,0.1240875912408759
135506,141557,4220,1.0
19055,141696,2549,0.0592105263157894
36219,141697,-1,
10278,141698,-1,
6458,141699,-1,
196092,141726,3040,0.088235294117647
207109,141727,15160,0.1006711409395973
185035,141889,10777,0.1428571428571428
188747,141890,14758,0.4936708860759494
43777,142010,678,0.2222222222222222
206727,142381,7970,0.2
154676,142994,11884,0.1875
208141,142996,971,0.1071428571428571
175844,143005,797,0.1652173913043478
208746,143007,971,0.1157024793388429
6393,143211,785,0.6292134831460674
127367,143215,9323,0.2013422818791946
80886,143685,7970,0.2039473684210526
210035,144013,2297,0.108695652173913
207479,144058,14485,0.1153846153846153
47232,144060,14780,0.072072072072072
58058,144061,4330,0.2448979591836734
105007,144108,851,0.4885496183206106
209713,144215,6307,0.2
208139,144234,12829,0.144
188634,144665,3540,0.2148760330578512
188472,144667,12159,0.173076923076923
7872,145865,673,0.2782608695652174
169894,145866,2549,0.2
130792,145870,2549,0.2758620689655172
169523,145871,3039,0.208
39005,145872,-1,
157659,146140,13900,0.1180124223602484
186989,146141,7526,0.12
163231,146165,2279,0.091743119266055
48838,146182,988,0.7448979591836735
174213,147025,2549,0.2
12837,147028,673,0.2704918032786885
174343,147029,2549,0.1968503937007874
189300,147030,3039,0.183206106870229
42966,147031,-1,
162990,147261,468,0.6526315789473685
205229,147725,3039,0.081081081081081
157609,148570,968,0.1185567010309278
181946,148571,6419,0.1133004926108374
190335,148581,2268,0.1379310344827586
190334,148582,2294,0.089430894308943
208377,148942,3039,0.0825688073394495
79759,149001,15160,0.056910569105691
186984,149048,1605,0.2941176470588235
178102,149739,968,0.1020408163265306
136453,150903,2268,0.1325301204819277
73660,150921,988,0.3888888888888889
208320,151291,3039,0.0769230769230769
191764,152121,968,0.1065989847715736
173946,152122,1072,0.1065989847715736
170755,152125,2268,0.160919540229885
17349,153396,988,0.6956521739130435
191766,154552,13900,0.1153846153846153
202271,154553,7526,0.1172413793103448
111151,154572,2268,0.1123595505617977
185088,154573,10920,0.1052631578947368
155184,154575,2279,0.1160714285714285
204065,154638,986,0.1066666666666666
211466,154962,3039,0.088235294117647
210691,155856,971,0.1188811188811188
38417,157091,988,0.673469387755102
16566,157957,673,0.2100840336134453
190329,158304,2279,0.1171171171171171
77936,158782,15160,0.08130081300813
9473,159120,672,0.2605042016806723
178526,159121,2549,0.1818181818181818
188845,159122,3039,0.1774193548387097
184722,159482,13900,0.1104294478527607
172866,159483,1052,0.1224489795918367
181190,159841,3039,0.081081081081081
195364,160745,975,0.1111111111111111
171814,160746,1052,0.1276595744680851
145765,160752,2279,0.128440366972477
79021,161159,3039,0.073170731707317
144812,161181,1540,0.231578947368421
45451,161207,-1,
41647,161208,-1,
206918,161209,2316,0.0909090909090909
206035,161211,67,0.2307692307692307
80247,161925,2274,0.1009174311926605
145321,161926,971,0.1065573770491803
112706,161928,2260,0.108695652173913
155904,161947,2279,0.087378640776699
21887,161963,988,0.6868686868686869
197212,162001,968,0.1059602649006622
200236,162348,3039,0.081081081081081
26295,162411,3039,0.073170731707317
173940,163240,13900,0.1217948717948717
189929,163241,7526,0.1241379310344827
189862,163244,13900,0.1139240506329113
166828,163245,1052,0.1267605633802817
43098,163328,988,0.5
137852,164824,15159,0.0601503759398496
17371,165230,673,0.2920353982300885
164731,165231,2549,0.1916666666666666
164723,165534,985,0.1081081081081081
166819,165535,1052,0.1366906474820144
166796,165595,985,0.1063829787234042
62257,166087,15160,0.0681818181818181
196142,166851,6419,0.1096774193548387
198067,166854,971,0.1184210526315789
201918,166855,10949,0.1119402985074626
203291,166938,971,0.1176470588235294
20209,170244,673,0.2363636363636363
164409,170245,2549,0.209090909090909
17055,170586,988,0.7128712871287128
10458,171443,673,0.2644628099173554
180996,171444,2549,0.1811023622047244
42995,171446,-1,
169479,172979,2294,0.089430894308943
48286,172992,988,0.4464285714285714
24378,172994,988,0.693069306930693
210114,173341,3039,0.0769230769230769
13083,173752,649,0.2333333333333333
165904,173753,2549,0.2792792792792792
186944,173754,3039,0.1983471074380165
40066,173755,-1,
172860,174024,2274,0.1388888888888889
14395,174918,673,0.2682926829268293
159735,174919,2549,0.1769230769230769
41890,174921,-1,
193047,175239,975,0.1313868613138686
202960,175242,10949,0.1085271317829457
159490,175263,2284,0.1616161616161616
190354,175264,2281,0.0862068965517241
60026,175281,988,0.4380952380952381
209654,175320,985,0.1176470588235294
55139,177037,3039,0.073170731707317
15647,177432,672,0.2248062015503876
118843,177794,2268,0.160919540229885
35795,177825,988,0.4952380952380952
155607,178742,2549,0.2
188421,178743,3039,0.1949152542372881
41594,178744,-1,
18358,178745,673,0.2352941176470588
188287,178746,2549,0.1900826446280991
175829,178821,1494,0.1290322580645161
30612,178823,672,0.2066115702479339
194343,179128,975,0.1167883211678832
204512,179129,1052,0.1014492753623188
210253,179521,3039,0.0737704918032786
200877,179522,3039,0.0769230769230769
62258,179615,15160,0.0681818181818181
16565,180004,673,0.225
133445,180005,2549,0.2
185466,180006,3039,0.2049180327868852
172847,180328,2284,0.1237113402061855
56833,180350,988,0.4259259259259259
180206,180664,3039,0.081081081081081
190355,181878,3039,0.081081081081081
181248,182056,3040,0.1940298507462686
200231,182063,2262,0.1214285714285714
195761,182065,13880,0.1466666666666666
202466,182066,14320,0.1052631578947368
9863,182492,673,0.2461538461538461
177779,182493,2549,0.1777777777777777
173975,182568,1812,0.1217948717948717
150310,182569,3193,0.2972972972972973
152893,182570,1499,0.1527777777777778
151516,183006,2274,0.0909090909090909
26026,183023,988,0.631578947368421
