,protein_pdb_id,ligand_pdb_id,ligand_expo_id,pose,rmsd,docking_score,posit_probability,fingerprint_similarity,shape_similarity
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5v80_chainA_altlocNone_docking-templateNone_2bik-BI1_ligand.sdf_1,5v80,2bik,BI1,1,6.0892740602345325,-15.456324,0.2399999946355819,0.3908045977011494,0.947167158126831
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_5p9h_chainA_altlocNone_docking-templateNone_4rx5-3YO_ligand.sdf_1,5p9h,4rx5,3YO,1,0.8269815596493069,-15.087384,0.78,0.4789915966386555,1.040042519569397
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_4zts_chainA_altlocNone_docking-templateNone_3p9j-P9J_ligand.sdf_1,4zts,3p9j,P9J,1,9.800667135030483,-11.544377,0.2399999946355819,0.4186046511627907,0.6040054559707642
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5kgk_chainA_altlocNone_docking-templateNone_3r02-UNM_ligand.sdf_1,5kgk,3r02,UNM,1,0.6936502480837636,-12.181296,0.1800000071525573,0.303030303030303,0.7497524619102478
kinoml_OEPositDockingFeaturizer_Human_TRKA_rcsb_6d1y_chainA_altlocNone_docking-templateNone_5kmj-6UF_ligand.sdf_1,6d1y,5kmj,6UF,1,7.7879184946942015,-12.654554,0.3300000131130218,0.5035971223021583,0.9556975960731506
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3myg_chainA_altlocNone_docking-templateNone_5aag-6F2_ligand.sdf_1,3myg,5aag,6F2,1,6.160440555845439,-13.439791,0.2399999946355819,0.3814432989690721,0.6016315817832947
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_5vfi_chainA_altlocNone_docking-templateNone_6hrp-GMQ_ligand.sdf_1,5vfi,6hrp,GMQ,1,1.0409074805085818,-16.016819,0.78,0.5608856088560885,1.0334075689315796
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3vbv_chainA_altlocNone_docking-templateNone_4k0y-1OA_ligand.sdf_1,3vbv,4k0y,1OA,1,4.841617069343036,-7.148932,0.2399999946355819,0.4210526315789473,0.8101531863212585
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2c6d_chainA_altlocNone_docking-templateNone_6vpg-ANP_ligand.sdf_1,2c6d,6vpg,ANP,1,2.2153999347674773,-7.644601,0.89,0.8589743589743589,1.2150557041168213
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_4rg0_chainA_altlocNone_docking-templateNone_4rfz-3OV_ligand.sdf_1,4rg0,4rfz,3OV,1,0.8453260240620313,-13.929172,0.85,0.6793893129770993,1.2966866493225098
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_4yth_chainA_altlocNone_docking-templateNone_5tq8-7GS_ligand.sdf_1,4yth,5tq8,7GS,1,9.027786433060566,-5.306966,0.0199999995529651,0.3045685279187817,0.3782909512519836
