,protein_pdb_id,ligand_pdb_id,ligand_expo_id,pose,rmsd,docking_score,posit_probability,fingerprint_similarity,shape_similarity
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5dt0_chainA_altlocNone_docking-templateNone_5dn3-ATP_ligand.sdf_1,5dt0,5dn3,ATP,1,10.84952756515678,-9.601848,0.1800000071525573,,0.6453659534454346
kinoml_OEPositDockingFeaturizer_Mouse_PKACa_rcsb_4ib0_chainA_altlocNone_docking-templateNone_3fjq-ATP_ligand.sdf_1,4ib0,3fjq,ATP,1,1.893465622744741,-13.674697,0.89,0.8076923076923077,1.1360819339752195
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5orp_chainA_altlocNone_docking-templateNone_5ory-ADP_ligand.sdf_1,5orp,5ory,ADP,1,0.2141785340421502,15.040962,0.99,0.7534246575342466,1.3428847789764404
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2w1g_chainA_altlocNone_docking-templateNone_5orx-ADP_ligand.sdf_1,2w1g,5orx,ADP,1,2.9787870138823407,-9.720661,0.2399999946355819,0.2967741935483871,0.7013813853263855
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_7kxo_chainA_altlocNone_docking-templateNone_6j6m-BA0_ligand.sdf_1,7kxo,6j6m,BA0,1,5.778777347205153,-3.989553,0.3300000131130218,0.4444444444444444,0.7263986468315125
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_4ded_chainA_altlocNone_docking-templateNone_4dee-ADP_ligand.sdf_1,4ded,4dee,ADP,1,8.372582691495253,-12.183099,0.1800000071525573,0.2857142857142857,0.861139178276062
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2xng_chainA_altlocNone_docking-templateNone_5orw-ADP_ligand.sdf_1,2xng,5orw,ADP,1,9.128267248660226,-13.28189,0.2399999946355819,0.3333333333333333,0.6204820871353149
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_4d0x_chainA_altlocNone_docking-templateNone_6x8e-UWP_ligand.sdf_1,4d0x,6x8e,UWP,1,2.588919465723104,-12.543261,0.2399999946355819,0.3478260869565217,0.8951346278190613
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_1yxx_chainA_altlocNone_docking-templateNone_4rc4-3OK_ligand.sdf_1,1yxx,4rc4,3OK,1,2.933851859036041,-11.665277,0.1800000071525573,0.4354838709677419,0.8466909527778625
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_6l15_chainA_altlocNone_docking-templateNone_4ty1-38W_ligand.sdf_1,6l15,4ty1,38W,1,5.537526384974225,-14.042875,0.1800000071525573,0.3708609271523179,0.8423972129821777
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_6mt0_chainA_altlocNone_docking-templateNone_3dcv-55E_ligand.sdf_1,6mt0,3dcv,55E,1,6.098323528408677,-10.133157,0.1800000071525573,0.3916083916083916,0.7462701797485352
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_7n5y_chainA_altlocNone_docking-templateNone_4ot6-2V1_ligand.sdf_1,7n5y,4ot6,2V1,1,11.434502111368197,8.944683,0.0099999997764825,0.371859296482412,0.7293065786361694
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_6vnh_chainB_altlocNone_docking-templateNone_2b7a-IZA_ligand.sdf_1,6vnh,2b7a,IZA,1,0.7879812401209877,-14.498294,0.2399999946355819,0.3742690058479532,0.6179791688919067
kinoml_OEPositDockingFeaturizer_Human_MAP2K1_rcsb_2p55_chainA_altlocNone_docking-templateNone_7b3m-ANP_ligand.sdf_1,2p55,7b3m,ANP,1,11.867170833043788,8.572804,0.0099999997764825,0.5531914893617021,0.6890794634819031
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5v80_chainA_altlocNone_docking-templateNone_2o63-MYC_ligand.sdf_1,5v80,2o63,MYC,1,7.571744819306554,-10.956188,0.2399999946355819,0.272108843537415,0.8263128995895386
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5tex_chainA_altlocNone_docking-templateNone_5v80-971_ligand.sdf_1,5tex,5v80,971,1,11.434801210521236,-1.313082,0.0099999997764825,0.3542857142857142,0.8276877403259277
kinoml_OEPositDockingFeaturizer_Human_BRAF_rcsb_3tv6_chainA_altlocNone_docking-templateNone_7m0w-ANP_ligand.sdf_1,3tv6,7m0w,ANP,1,6.403615390114879,-9.898208,0.2399999946355819,0.2822085889570552,0.782572865486145
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3cy3_chainA_altlocNone_docking-templateNone_6bsk-MVG_ligand.sdf_1,3cy3,6bsk,MVG,1,5.8958600245063,-12.196657,0.1800000071525573,0.5375,0.7999407052993774
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5os4_chainA_altlocNone_docking-templateNone_2xru-400_ligand.sdf_1,5os4,2xru,400,1,13.030553869229385,13.347504,0.0099999997764825,0.2485875706214689,0.5593785047531128
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_6l16_chainA_altlocNone_docking-templateNone_5kgd-6SL_ligand.sdf_1,6l16,5kgd,6SL,1,0.8011252086908758,-10.548999,0.1800000071525573,0.3471074380165289,0.690357506275177
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3myg_chainA_altlocNone_docking-templateNone_5aaf-NL4_ligand.sdf_1,3myg,5aaf,NL4,1,5.31233170252452,-14.106523,0.2399999946355819,0.4419889502762431,0.6608423590660095
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4n6z_chainA_altlocNone_docking-templateNone_4wrs-3U1_ligand.sdf_1,4n6z,4wrs,3U1,1,1.017821678266876,-15.091276,0.2300000041723251,0.3522012578616352,0.822600245475769
kinoml_OEPositDockingFeaturizer_Human_IRAK4_rcsb_6f3i_chainB_altlocNone_docking-templateNone_5uiq-8BV_ligand.sdf_1,6f3i,5uiq,8BV,1,4.806368947712865,-10.15714,0.2399999946355819,0.3089430894308943,0.4660968482494354
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3r01_chainA_altlocNone_docking-templateNone_3jy0-LYG_ligand.sdf_1,3r01,3jy0,LYG,1,6.097892456340215,-8.124832,0.1800000071525573,0.4230769230769231,0.7742898464202881
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_7ree_chainA_altlocNone_docking-templateNone_3e62-5B1_ligand.sdf_1,7ree,3e62,5B1,1,3.1624363594027822,-10.377465,0.2399999946355819,,0.3281103372573852
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2c6d_chainA_altlocNone_docking-templateNone_5dr9-SKE_ligand.sdf_1,2c6d,5dr9,SKE,1,1.803240170113541,-10.385875,0.2399999946355819,0.272108843537415,0.711903989315033
kinoml_OEPositDockingFeaturizer_Mouse_PKACa_rcsb_1jbp_chainE_altlocNone_docking-templateNone_4dh7-ANP_ligand.sdf_1,1jbp,4dh7,ANP,1,1.1349695462732652,28.15979,0.89,0.7948717948717948,1.1570743322372437
kinoml_OEPositDockingFeaturizer_Human_TRKA_rcsb_6pmc_chainA_altlocNone_docking-templateNone_6pl2-OOM_ligand.sdf_1,6pmc,6pl2,OOM,1,10.760658541650692,-12.642116,0.2399999946355819,0.4444444444444444,0.7216223478317261
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_2bil_chainB_altlocNone_docking-templateNone_2o63-MYC_ligand.sdf_1,2bil,2o63,MYC,1,8.332594817420581,-13.958118,0.2399999946355819,0.304635761589404,0.7179218530654907
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5n5l_chainA_altlocNone_docking-templateNone_3a99-ANP_ligand.sdf_1,5n5l,3a99,ANP,1,7.5722127843592,-3.896772,0.2399999946355819,0.1176470588235294,0.5924370884895325
kinoml_OEPositDockingFeaturizer_Human_IRAK4_rcsb_2nru_chainA_altlocNone_docking-templateNone_5uit-8CD_ligand.sdf_1,2nru,5uit,8CD,1,6.190264572698004,-14.102449,0.2399999946355819,,0.7038514018058777
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3bgz_chainA_altlocNone_docking-templateNone_3cxw-7CP_ligand.sdf_1,3bgz,3cxw,7CP,1,6.421703403303518,-12.035239,0.1800000071525573,0.2014388489208633,0.8055954575538635
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_5j87_chainA_altlocNone_docking-templateNone_7kxq-X9Y_ligand.sdf_1,5j87,7kxq,X9Y,1,8.42231834246989,-5.262395,0.0099999997764825,0.4603174603174603,0.905091404914856
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5dt0_chainA_altlocNone_docking-templateNone_2xng-A0H_ligand.sdf_1,5dt0,2xng,A0H,1,8.130553400599496,-9.587276,0.050000000745058,,0.8866132497787476
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5dwr_chainA_altlocNone_docking-templateNone_3cy3-JN5_ligand.sdf_1,5dwr,3cy3,JN5,1,6.934272537882372,-12.446959,0.2399999946355819,0.4470588235294118,0.7931676506996155
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_6l13_chainA_altlocNone_docking-templateNone_5kgd-6SL_ligand.sdf_1,6l13,5kgd,6SL,1,5.067315725970375,-7.32697,0.1800000071525573,0.3539823008849557,0.7740584015846252
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_4jbo_chainA_altlocNone_docking-templateNone_6cpf-ACP_ligand.sdf_1,4jbo,6cpf,ACP,1,8.289426479246842,-10.048932,0.2399999946355819,0.29,0.5509461164474487
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5dt3_chainA_altlocNone_docking-templateNone_5g15-ACP_ligand.sdf_1,5dt3,5g15,ACP,1,2.3118873172674173,-13.350548,0.99,0.6987951807228916,1.1826503276824951
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3uix_chainA_altlocNone_docking-templateNone_5n4u-8MZ_ligand.sdf_1,3uix,5n4u,8MZ,1,5.309322243704934,-7.775784,0.2399999946355819,0.4,0.9109447598457336
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2xng_chainA_altlocNone_docking-templateNone_4dee-ADP_ligand.sdf_1,2xng,4dee,ADP,1,9.19924578631515,-13.28189,0.2399999946355819,0.3333333333333333,0.6204820871353149
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4enx_chainA_altlocNone_docking-templateNone_5kgg-6SO_ligand.sdf_1,4enx,5kgg,6SO,1,6.730220724463648,-10.541816,0.0199999995529651,,0.5492514967918396
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_5tq8_chainA_altlocNone_docking-templateNone_6vnm-R5Y_ligand.sdf_1,5tq8,6vnm,R5Y,1,1.7182649350716477,-11.856754,0.2399999946355819,0.4205607476635514,0.6942667961120605
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_4yth_chainA_altlocNone_docking-templateNone_4yti-VJK_ligand.sdf_1,4yth,4yti,VJK,1,3.802861643364301,-13.920093,0.94,0.5359477124183006,1.0846757888793943
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5kzi_chainA_altlocNone_docking-templateNone_4bzn-UGX_ligand.sdf_1,5kzi,4bzn,UGX,1,4.362632142220259,-12.60951,0.2399999946355819,0.3312101910828025,0.770514726638794
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_6vnm_chainA_altlocNone_docking-templateNone_6wto-3JW_ligand.sdf_1,6vnm,6wto,3JW,1,1.5250784973492093,-13.715814,0.2300000041723251,0.593939393939394,0.615218460559845
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_6r4d_chainA_altlocNone_docking-templateNone_5osd-ADP_ligand.sdf_1,6r4d,5osd,ADP,1,0.2292219529270783,16.092045,0.99,0.8356164383561644,1.5467219352722168
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_4e4m_chainA_altlocNone_docking-templateNone_6wtn-RXT_ligand.sdf_1,4e4m,6wtn,RXT,1,3.033051964175903,-13.806292,0.3300000131130218,0.6165413533834586,0.933101773262024
kinoml_OEPositDockingFeaturizer_Mouse_PKACa_rcsb_4iaz_chainA_altlocNone_docking-templateNone_1atp-ATP_ligand.sdf_1,4iaz,1atp,ATP,1,0.7789018945222322,-18.861506,0.89,0.8076923076923077,1.1331568956375122
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_5cf6_chainA_altlocNone_docking-templateNone_3e62-5B1_ligand.sdf_1,5cf6,3e62,5B1,1,0.2887321816619561,-9.95594,0.2399999946355819,0.2162162162162162,0.6558775901794434
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5n50_chainA_altlocNone_docking-templateNone_4ll5-SK8_ligand.sdf_1,5n50,4ll5,SK8,1,5.803478328923586,-12.44885,0.2399999946355819,0.4285714285714285,0.6882762908935547
kinoml_OEPositDockingFeaturizer_Human_MST3_rcsb_4qmy_chainA_altlocNone_docking-templateNone_7b35-SQB_ligand.sdf_1,4qmy,7b35,SQB,1,5.922540426886769,-9.614548,0.2399999946355819,0.4077669902912621,0.6074793338775635
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5kge_chainA_altlocNone_docking-templateNone_5dgz-L20_ligand.sdf_1,5kge,5dgz,L20,1,5.601544037138333,-10.749224,0.2399999946355819,0.3149606299212598,0.7125269770622253
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5toe_chainA_altlocNone_docking-templateNone_3cxw-7CP_ligand.sdf_1,5toe,3cxw,7CP,1,5.658471889123424,-12.710972,0.1800000071525573,0.3065693430656934,0.7044840455055237
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_6hrp_chainA_altlocNone_docking-templateNone_5j87-N42_ligand.sdf_1,6hrp,5j87,N42,1,2.701854629231558,-15.539011,0.85,0.631578947368421,0.8411862850189209
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_4zlz_chainA_altlocNone_docking-templateNone_4ot6-2V1_ligand.sdf_1,4zlz,4ot6,2V1,1,12.473276836762327,6.887149,0.0099999997764825,0.3825136612021858,0.5747597217559814
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5n5l_chainA_altlocNone_docking-templateNone_5tur-7LK_ligand.sdf_1,5n5l,5tur,7LK,1,2.799233310211923,-10.556061,0.2399999946355819,0.2641509433962264,0.5985029935836792
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5kzi_chainA_altlocNone_docking-templateNone_5ipj-6CD_ligand.sdf_1,5kzi,5ipj,6CD,1,5.965259514394496,-13.379171,0.1800000071525573,0.3658536585365853,0.8371984958648682
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_1yxu_chainA_altlocNone_docking-templateNone_5n4r-8MQ_ligand.sdf_1,1yxu,5n4r,8MQ,1,,13.456371,0.1800000071525573,0.2148760330578512,0.8553376793861389
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4gw8_chainA_altlocNone_docking-templateNone_3r01-UNE_ligand.sdf_1,4gw8,3r01,UNE,1,7.34094860809328,-7.694809,0.0199999995529651,0.2935779816513761,0.644827663898468
kinoml_OEPositDockingFeaturizer_Mouse_PKACa_rcsb_6e21_chainA_altlocNone_docking-templateNone_4ntt-ADP_ligand.sdf_1,6e21,4ntt,ADP,1,1.1926857491796807,-21.702736,0.91,0.8356164383561644,1.2689520120620728
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5kgk_chainA_altlocNone_docking-templateNone_1yxu-AMP_ligand.sdf_1,5kgk,1yxu,AMP,1,5.84561648104614,-8.451178,0.1800000071525573,0.1941747572815534,0.8211615085601807
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_4otr_chainA_altlocNone_docking-templateNone_6n9p-KHD_ligand.sdf_1,4otr,6n9p,KHD,1,8.016785558283319,-11.682949,0.050000000745058,0.4642857142857143,0.5685672760009766
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_1yxu_chainA_altlocNone_docking-templateNone_3jy0-LYG_ligand.sdf_1,1yxu,3jy0,LYG,1,8.705835357547675,-5.799688,0.0099999997764825,0.3015873015873015,0.786472737789154
kinoml_OEPositDockingFeaturizer_Human_IRAK4_rcsb_6lxy_chainB_altlocNone_docking-templateNone_5kx7-6YD_ligand.sdf_1,6lxy,5kx7,6YD,1,2.38155524290326,-12.499619,0.2399999946355819,0.3947368421052631,0.7074926495552063
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5kgi_chainA_altlocNone_docking-templateNone_2o3p-QUE_ligand.sdf_1,5kgi,2o3p,QUE,1,6.708741017914951,-11.386351,0.2399999946355819,0.2150537634408602,0.7418456077575684
kinoml_OEPositDockingFeaturizer_Human_MAP2K1_rcsb_3eqc_chainA_altlocNone_docking-templateNone_7b9l-ANP_ligand.sdf_1,3eqc,7b9l,ANP,1,10.317762235503738,-11.374916,0.2399999946355819,0.6329113924050633,0.4464768171310425
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3uix_chainA_altlocNone_docking-templateNone_6kzi-RTX_ligand.sdf_1,3uix,6kzi,RTX,1,4.5349562061465,-15.318712,0.1800000071525573,0.3759398496240601,1.1233506202697754
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4ll5_chainA_altlocNone_docking-templateNone_5tex-7AU_ligand.sdf_1,4ll5,5tex,7AU,1,5.184849865621208,-10.551046,0.2300000041723251,0.5131578947368421,1.0239721536636353
kinoml_OEPositDockingFeaturizer_Human_MAP2K1_rcsb_4anb_chainA_altlocNone_docking-templateNone_3e8n-ATP_ligand.sdf_1,4anb,3e8n,ATP,1,11.14498388542808,-12.369599,0.2399999946355819,0.5338983050847458,0.7791835069656372
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_1yxx_chainA_altlocNone_docking-templateNone_5n4y-8N5_ligand.sdf_1,1yxx,5n4y,8N5,1,2.5110666629371443,-9.252398,0.2300000041723251,0.4516129032258064,0.9653544425964355
kinoml_OEPositDockingFeaturizer_Human_BTK_rcsb_5vfi_chainA_altlocNone_docking-templateNone_4otr-2V3_ligand.sdf_1,5vfi,4otr,2V3,1,1.0506949563523886,-16.961737,0.91,0.6074074074074074,0.937721848487854
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_6vru_chainA_altlocNone_docking-templateNone_5iis-6CB_ligand.sdf_1,6vru,5iis,6CB,1,0.9615879172393172,-14.539537,0.1800000071525573,0.2838709677419355,0.7032208442687988
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_2o64_chainA_altlocNone_docking-templateNone_4alv-R9P_ligand.sdf_1,2o64,4alv,R9P,1,6.815512489901254,-7.818486,0.2300000041723251,0.3758389261744966,0.948073387145996
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3nrm_chainA_altlocNone_docking-templateNone_5orx-ADP_ligand.sdf_1,3nrm,5orx,ADP,1,9.215006253891492,-7.15878,0.1800000071525573,0.237037037037037,0.8057211637496948
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4med_chainA_altlocNone_docking-templateNone_2bil-BI1_ligand.sdf_1,4med,2bil,BI1,1,2.7021627359603837,-14.996212,0.1800000071525573,0.4050632911392405,0.6967593431472778
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3umw_chainA_altlocNone_docking-templateNone_4alw-HY7_ligand.sdf_1,3umw,4alw,HY7,1,2.8766999964482247,-9.647123,0.2300000041723251,0.3841059602649007,0.8625131845474243
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4bzo_chainA_altlocNone_docking-templateNone_6ykd-OWB_ligand.sdf_1,4bzo,6ykd,OWB,1,8.365645862075155,-12.283641,0.2399999946355819,0.5263157894736842,0.7730937600135803
kinoml_OEPositDockingFeaturizer_Mouse_PKACa_rcsb_4dh5_chainA_altlocNone_docking-templateNone_3ow3-SMY_ligand.sdf_1,4dh5,3ow3,SMY,1,2.28382871511854,-8.860216,0.2300000041723251,0.3125,0.7802956700325012
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_3r21_chainA_altlocNone_docking-templateNone_2dwb-ANP_ligand.sdf_1,3r21,2dwb,ANP,1,9.00527588013934,-6.017236,0.2300000041723251,0.3023255813953488,0.8383768200874329
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5n4u_chainA_altlocNone_docking-templateNone_5n4r-8MQ_ligand.sdf_1,5n4u,5n4r,8MQ,1,,-12.020466,0.2399999946355819,0.3269230769230769,0.9549993872642516
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5orr_chainA_altlocNone_docking-templateNone_2w1g-L0G_ligand.sdf_1,5orr,2w1g,L0G,1,10.616461607872395,2.887339,0.0099999997764825,0.232258064516129,0.7565046548843384
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5aad_chainA_altlocNone_docking-templateNone_5lxm-ADP_ligand.sdf_1,5aad,5lxm,ADP,1,1.74664211178669,-11.597155,0.1800000071525573,0.1910828025477707,0.8053271174430847
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5c1q_chainB_altlocNone_docking-templateNone_3r02-UNM_ligand.sdf_1,5c1q,3r02,UNM,1,1.8149291997210253,-10.840983,0.1800000071525573,0.2905982905982906,0.9915533065795898
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4k1b_chainA_altlocNone_docking-templateNone_5n4x-8MT_ligand.sdf_1,4k1b,5n4x,8MT,1,2.683413023473177,-8.317272,0.050000000745058,0.2335766423357664,0.3728626668453216
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3vc4_chainA_altlocNone_docking-templateNone_6l12-E2R_ligand.sdf_1,3vc4,6l12,E2R,1,6.843597690383771,-4.944042,0.0099999997764825,0.3275862068965517,0.923422396183014
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5ndt_chainA_altlocNone_docking-templateNone_3cxw-7CP_ligand.sdf_1,5ndt,3cxw,7CP,1,5.908371660618515,-10.613742,0.2399999946355819,0.2912621359223301,0.7651203870773315
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_2bmc_chainA_altlocNone_docking-templateNone_3fdn-MMH_ligand.sdf_1,2bmc,3fdn,MMH,1,7.306984304987478,-8.744823,0.2399999946355819,0.5549738219895288,0.808281660079956
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_4c3r_chainA_altlocNone_docking-templateNone_6c2r-EG7_ligand.sdf_1,4c3r,6c2r,EG7,1,9.323706917126394,-10.047935,0.2399999946355819,0.247191011235955,0.689216136932373
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3vc4_chainA_altlocNone_docking-templateNone_4a7c-E46_ligand.sdf_1,3vc4,4a7c,E46,1,6.789239550831259,-5.633252,0.0099999997764825,0.3538461538461538,0.8624432682991028
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_5tur_chainA_altlocNone_docking-templateNone_3r01-UNE_ligand.sdf_1,5tur,3r01,UNE,1,5.833199973713684,-6.764496,0.1800000071525573,0.3243243243243243,0.7267355918884277
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_3bgz_chainA_altlocNone_docking-templateNone_4iaa-RTZ_ligand.sdf_1,3bgz,4iaa,RTZ,1,5.5915630158301886,-13.740227,0.2399999946355819,0.3216783216783216,0.8918065428733826
kinoml_OEPositDockingFeaturizer_Mouse_PKACa_rcsb_4ib0_chainA_altlocNone_docking-templateNone_6mm8-ANP_ligand.sdf_1,4ib0,6mm8,ANP,1,3.197380651761386,-13.375049,0.89,0.7948717948717948,1.1340714693069458
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5obr_chainA_altlocNone_docking-templateNone_5l8k-ADP_ligand.sdf_1,5obr,5l8k,ADP,1,7.562878474153529,-11.165638,0.1800000071525573,,0.7709473371505737
kinoml_OEPositDockingFeaturizer_Human_PIM1_rcsb_4k18_chainA_altlocNone_docking-templateNone_5eol-5QO_ligand.sdf_1,4k18,5eol,5QO,1,6.886587882737479,-13.372081,0.1800000071525573,0.3478260869565217,0.979073405265808
kinoml_OEPositDockingFeaturizer_Human_JAK2_rcsb_6vnf_chainA_altlocNone_docking-templateNone_5tq8-7GS_ligand.sdf_1,6vnf,5tq8,7GS,1,7.31115336806913,-11.183663,0.2399999946355819,0.4329004329004329,0.5828953385353088
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5aad_chainA_altlocNone_docking-templateNone_5orl-ADP_ligand.sdf_1,5aad,5orl,ADP,1,1.8470120014047915,-11.597155,0.1800000071525573,0.1910828025477707,0.8053271174430847
kinoml_OEPositDockingFeaturizer_Human_AurA_rcsb_5os0_chainA_altlocNone_docking-templateNone_4ded-NHU_ligand.sdf_1,5os0,4ded,NHU,1,7.448669925150808,2.923277,0.0099999997764825,0.2312925170068027,0.8020731210708618
