17693704,14314,CN(C)[C@H]1CCc2nc(NC(=O)c3cccc([C@H]4CCCN4C(=O)c4cc(-c5ccncc5)[nH]n4)c3)sc2C1
17766800,12474,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)nc3)n2)CC1
19432834,8548,Cc1nccc(Nc2cc(NC3CCN(c4ccc(C#N)cc4)CC3)c(C(N)=O)cn2)n1
24424544,6677,Cc1cc(-c2ccc(OC[C@@H](N)CC(C)C)c(C#N)c2)ccn1
13282641,433,C[C@@H](NC(=O)c1c[nH]c2ncc(-c3cn(C)c4cc(Cl)ccc34)nc12)C(=O)N1CC(C#N)C1
18088959,5183,COC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)c(NC(=O)c4ccccc4)c3)cc1CC2
18497284,14485,CN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1
18085941,5342,OC[C@H](Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1
17766852,12474,N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(Cc2c(F)cccc2F)CC1
23248227,692,CC(C)c1c2cc(-c3ccnc(Nc4ccc5c(N6CCN(C)CC6)ccnc5c4)n3)ccc2nn1C
16635867,6655,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1
13282584,1444,Cn1nc(-c2cnc3[nH]cc(C(=O)N[C@@H](C(=O)N4CC(C#N)C4)C4CC4)c3n2)c2ccc(Cl)cc21
17693677,6827,CN1CCc2nc(NC(=O)c3cccc(OCC(=O)Nc4ccc5[nH]ncc5c4)c3)sc2C1
13282600,12245,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
13961122,3708,O=c1[nH]ccc2c(Nc3c(Cl)cc(F)cc3Cl)nc3ccncc3c12
1682013,2819,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Br)c4)ncnc3cn2)CC1
17693680,6827,CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@H]4CCCN4C(=O)Nc4cccc(C#N)c4)c3)sc2C1
17735166,11596,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N)nc(N2CCOCC2)c1
17640510,9278,COCCN1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1
17793865,7224,CC[C@@H]1CN(c2cccc(-n3ncc4cnc(-c5cnn(CC)c5)cc43)n2)CCN1
16612183,786,NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1
17680776,11511,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4CCc5[nH]ncc5C4)ncc23)ccn1
17640441,9278,COC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1
